#,year,df,df_ee
0,2025,1.0,1.0
1,2026,0.9433962264150942,0.9433962264150942
2,2027,0.8899964400142398,0.8899964400142398
3,2028,0.8396192830323016,0.8396192830323016
4,2029,0.7920936632380204,0.7920936632380204
5,2030,0.7472581728660569,0.7472581728660569
6,2031,0.7049605404396763,0.7049605404396763
7,2032,0.665057113622336,0.665057113622336
8,2033,0.6274123713418265,0.6274123713418265
9,2034,0.591898463530025,0.591898463530025
10,2035,0.5583947769151179,0.5583947769151179
11,2036,0.5267875253916205,0.5267875253916205
12,2037,0.4969693635770005,0.4969693635770005
13,2038,0.4688390222424533,0.4688390222424533
14,2039,0.4423009643796729,0.4423009643796729
15,2040,0.41726506073554037,0.41726506073554037
16,2041,0.39364628371277405,0.39364628371277405
17,2042,0.37136441859695657,0.37136441859695657
18,2043,0.35034379112920433,3.4026261307559533
19,2044,0.3305130104992493,3.2100246516565596
20,2045,0.3118047268860843,3.0283251430722253
21,2046,0.29415540272272095,
22,2047,0.2775050969082273,
23,2048,0.2617972612341767,
24,2049,0.24697854833412897,
25,2050,0.23299863050389524,
26,2051,0.21981002877725966,
27,2052,0.20736795167666003,
28,2053,0.1956301430911887,
29,2054,0.18455673876527234,
30,2055,0.17411013091063426,
31,2056,0.16425484048173042,
32,2057,0.15495739668087777,
33,2058,0.14618622328384695,
34,2059,0.1379115313998556,
35,2060,0.13010521830175056,
