Tech_num,Tech_name,Cost,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
17,ES_4hr_Cand,Power,250.9822999,240.7129766,230.3831066,220.1582145,209.9638499,198.3378103,194.6820558,191.0263326,188.7610651,185.1040535,179.9610621,177.702709,174.0438781,170.3849559,166.7259366,164.4847012,160.8244522,155.6468702,151.9849975,149.752407,146.089142,142.4255405,138.7615763,136.5537069,132.8886685,127.6582374
18,ES_6hr_Cand,Power,250.9822999,240.7129766,230.3831066,220.1582145,209.9638499,198.3378103,194.6820558,191.0263326,188.7610651,185.1040535,179.9610621,177.702709,174.0438781,170.3849559,166.7259366,164.4847012,160.8244522,155.6468702,151.9849975,149.752407,146.089142,142.4255405,138.7615763,136.5537069,132.8886685,127.6582374
19,ES_8hr_Cand,Power,250.9822999,240.7129766,230.3831066,220.1582145,209.9638499,198.3378103,194.6820558,191.0263326,188.7610651,185.1040535,179.9610621,177.702709,174.0438781,170.3849559,166.7259366,164.4847012,160.8244522,155.6468702,151.9849975,149.752407,146.089142,142.4255405,138.7615763,136.5537069,132.8886685,127.6582374
20,ES_10hr_Cand,Power,250.9822999,240.7129766,230.3831066,220.1582145,209.9638499,198.3378103,194.6820558,191.0263326,188.7610651,185.1040535,179.9610621,177.702709,174.0438781,170.3849559,166.7259366,164.4847012,160.8244522,155.6468702,151.9849975,149.752407,146.089142,142.4255405,138.7615763,136.5537069,132.8886685,127.6582374
21,ES_100hr_Cand,Power,250.9822999,240.7129766,230.3831066,220.1582145,209.9638499,198.3378103,194.6820558,191.0263326,188.7610651,185.1040535,179.9610621,177.702709,174.0438781,170.3849559,166.7259366,164.4847012,160.8244522,155.6468702,151.9849975,149.752407,146.089142,142.4255405,138.7615763,136.5537069,132.8886685,127.6582374
22,Li_Ion_Cand,Power,82.23096827,82.49259318,82.77923036,83.09390338,83.44014365,83.82210162,83.2529024,82.67945825,82.1016038,81.51916498,80.93195841,80.33979082,79.74245834,79.13974579,78.53142585,77.91725822,77.29698866,76.67034799,76.03705096,75.39679503,74.74925902,74.09410173,73.43096024,72.75944826,72.07915416,71.38963884
23,Flow_Cand,Power,129.0966247,129.5073568,129.9573562,130.45137,130.9949419,131.5945881,130.7009868,129.8007213,128.893532,127.9791455,127.057274,126.127614,125.1898456,124.2436308,123.2886129,122.3244145,121.3506365,120.3668563,119.3726262,118.367471,117.3508867,116.3223375,115.2812537,114.2270289,113.1590168,112.076528
24,Grav_Cand,Power,708.8167754,711.0719371,713.5427001,716.2551274,719.2396588,722.5320707,717.6256715,712.6826818,707.701676,702.6811537,697.6195343,692.5151517,687.3662487,682.1709704,676.9273573,671.6333382,666.2867215,660.8851869,655.4262757,649.9073798,644.3257311,638.6783881,632.9622228,627.1739052,621.3098873,615.3663841
25,PSH_Cand,Power,1395.808591,1400.249476,1405.114926,1410.456263,1416.33343,1422.816878,1413.155151,1403.421369,1393.612727,1383.726267,1373.758879,1363.707282,1353.568014,1343.337423,1333.011652,1322.58662,1312.058013,1301.421261,1290.671522,1279.803661,1268.812226,1257.691426,1246.4351,1235.036691,1223.489212,1211.78521
26,Therm_Cand,Power,1282.424691,1286.504836,1290.975057,1295.882508,1301.282263,1307.23905,1298.362161,1289.419071,1280.407201,1271.323836,1262.166116,1252.931026,1243.615388,1234.215846,1224.728854,1215.150666,1205.477315,1195.704604,1185.828085,1175.843039,1165.744457,1155.527018,1145.185062,1134.712566,1124.103108,1113.349842
