Num,Tech,Tech_Name,ID,Tech_Num,Year,Cap_Cred
22,Li_Ion_Cand,Li-Ion Battery (New),22_Li_Ion_Cand,22,2030,0.55
22,Li_Ion_Cand,Li-Ion Battery (New),22_Li_Ion_Cand,22,2040,0.55
22,Li_Ion_Cand,Li-Ion Battery (New),22_Li_Ion_Cand,22,2050,0.55
23,Flow_Cand,Flow Battery (New),23_Flow_Cand,23,2030,0.55
23,Flow_Cand,Flow Battery (New),23_Flow_Cand,23,2040,0.55
23,Flow_Cand,Flow Battery (New),23_Flow_Cand,23,2050,0.55
24,Grav_Cand,Grav (New),24_Grav_Cand,24,2030,0.55
24,Grav_Cand,Grav (New),24_Grav_Cand,24,2040,0.55
24,Grav_Cand,Grav (New),24_Grav_Cand,24,2050,0.55
25,PSH_Cand,PSH (New),25_PSH_Cand,25,2030,0.55
25,PSH_Cand,PSH (New),25_PSH_Cand,25,2040,0.55
25,PSH_Cand,PSH (New),25_PSH_Cand,25,2050,0.55
26,Therm_Cand,Therm (New),26_Therm_Cand,26,2030,0.55
26,Therm_Cand,Therm (New),26_Therm_Cand,26,2040,0.55
26,Therm_Cand,Therm (New),26_Therm_Cand,26,2050,0.55
27,CAES_Cand,CAES (New),27_CAES_Cand,27,2030,0.55
27,CAES_Cand,CAES (New),27_CAES_Cand,27,2040,0.55
27,CAES_Cand,CAES (New),27_CAES_Cand,27,2050,0.55
28,Zinc_Cand,Zinc (New),28_Zinc_Cand,28,2030,0.55
28,Zinc_Cand,Zinc (New),28_Zinc_Cand,28,2040,0.55
28,Zinc_Cand,Zinc (New),28_Zinc_Cand,28,2050,0.55
29,Hydrogen_Cand,Hydrogen (New),29_Hydrogen_Cand,29,2030,0.55
29,Hydrogen_Cand,Hydrogen (New),29_Hydrogen_Cand,29,2040,0.55
29,Hydrogen_Cand,Hydrogen (New),29_Hydrogen_Cand,29,2050,0.55
30,DR_Cand,Demand Response (New),30_DR_Cand,30,2030,0
30,DR_Cand,Demand Response (New),30_DR_Cand,30,2040,0
30,DR_Cand,Demand Response (New),30_DR_Cand,30,2050,0
31,Iron_Air_Cand,Iron Air (New),31_Iron_Air_Cand,31,2030,0.55
31,Iron_Air_Cand,Iron Air (New),31_Iron_Air_Cand,31,2040,0.55
31,Iron_Air_Cand,Iron Air (New),31_Iron_Air_Cand,31,2050,0.55
32,SMR_Cand,SMR (New),32_SMR_Cand,32,2030,0.95
32,SMR_Cand,SMR (New),32_SMR_Cand,32,2040,0.95
32,SMR_Cand,SMR (New),32_SMR_Cand,32,2050,0.95
