Tech_num,Tech_name,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
13,Gas_CT_Cand,1420.845364,1410.285027,1399.724689,1389.164352,1378.724019,1368.163682,1357.603345,1347.043008,1336.48267,1325.922333,1315.361996,1304.801659,1294.361326,1283.800988,1273.240651,1262.680314,1252.119977,1241.55964,1230.999303,1220.438965,1209.998632,1199.438295,1188.877958,1178.317621,1167.757283,1157.196946
14,Gas_CC_Cand,1575.77031,1562.9299,1549.969486,1537.009073,1524.168663,1511.208249,1498.247835,1485.407425,1472.447011,1459.486598,1446.646188,1435.725839,1424.80549,1413.885142,1402.844789,1391.92444,1381.004092,1370.083743,1359.163394,1348.243046,1337.322697,1326.402349,1315.482,1304.561651,1293.641303,1282.720954
15,Wind_Cand,1689.748082,1655.040791,1620.3335,1585.626209,1550.918918,1516.211627,1500.432755,1484.653883,1468.875011,1453.096139,1437.317267,1421.538395,1405.759524,1389.980652,1374.20178,1358.422908,1342.644036,1326.865164,1311.086292,1295.30742,1279.528548,1263.749676,1247.970804,1232.191932,1216.413061,1200.634189
16,Solar_Cand,1606.333933,1542.116835,1477.899736,1413.682637,1349.465538,1285.24844,1221.031341,1156.814242,1092.597143,1028.380045,964.1629459,948.9123951,933.6618442,918.4112934,903.1607426,887.9101917,872.6596409,857.40909,842.1585392,826.9079883,811.6574375,796.4068867,781.1563358,765.905785,750.6552341,735.4046833
32,SMR_Cand,10391.99526,10391.99526,10391.99526,10391.99526,10391.99526,10391.99526,10007.10655,9622.217834,9237.32912,8852.440407,8467.551694,8146.811099,7826.070505,7505.32991,7184.589316,6863.848721,6671.404365,6478.960008,6286.515651,6094.071295,5901.626938,5773.3307,5645.034462,5516.738225,5388.441987,5260.145749
