Num,Tech,Tech_Name,ID,Tech_Num,Lead_Time,CandCap,SystCap,RampRate,FOM,VOM,PTC,ITC,CapCred,Lifetime,YearAvail
1,Nuclear,Nuclear,1_Nuclear,1,0,0,0,0,188455.8594,3.01529375,0,0,0.95,100,2020
2,Coal,Coal,2_Coal,2,0,0,0,0.04,85074.35937,9.368948437,0,0,0.95,100,2020
3,Gas_CT,Gas_CT,3_Gas_CT,3,0,0,0,0.08,25845.375,7.430545313,0,0,0.95,100,2020
4,Gas_CC,Gas_CC,4_Gas_CC,4,0,0,0,0.05,32306.71875,2.046092187,0,0,0.95,100,2020
5,Oil_CT,Oil_CT,5_Oil_CT,5,0,0,0,0.04,16821.03156,4.630629687,0,0,0.95,100,2020
6,Oil_ST,Oil_ST,6_Oil_ST,6,0,0,0,0.04,32015.95828,1.076890625,0,0,0.95,100,2020
7,Wind,Wind,7_Wind,7,0,0,0,0,30152.9375,0,0,0,0.39,100,2020
8,Solar,Solar,8_Solar,8,0,0,0,0,17230.25,0,0,0,0.28,20,2020
9,Solar_RT,Solar_RT,9_Solar_RT,9,0,0,0,0,22614.70312,0,0,0,0.28,40,2020
10,ES,ES,10_ES,10,0,0,0,1,23691.59375,0,0,0,0.95,30,2020
11,Hydro,Hydro,11_Hydro,11,0,0,0,1,69997.89062,0,0,0,0.95,30,2020
12,CSP,CSP,12_CSP,12,0,0,0,0.1,59444.3625,3.338360937,0,0,0.95,20,2020
13,Gas_CT_Cand,Gas_CT (New),13_Gas_CT_Cand,13,0,100,500,0.08,25845.375,7.430545313,0,0,0.95,50,2020
14,Gas_CC_Cand,Gas_CC (New),14_Gas_CC_Cand,14,0,100,500,0.05,32306.71875,2.046092187,0,0,0.95,50,2020
15,Wind_Cand,Wind (New),15_Wind_Cand,15,0,100,500,0,30152.9375,0,26,0,0.39,20,2020
16,Solar_Cand,Solar (New),16_Solar_Cand,16,0,100,500,0,17230.25,0,26,0,0.28,20,2020
17,ES_4hr_Cand,ES 4hr (New),17_ES_4hr_Cand,17,0,0,0,1,23691.59375,0,0,0.3,0.7,20,2020
18,ES_6hr_Cand,ES 6hr (New),18_ES_6hr_Cand,18,0,0,0,1,43075.625,0,0,0.3,0.7,20,2020
19,ES_8hr_Cand,ES 8hr (New),19_ES_8hr_Cand,19,0,0,0,1,54921.42187,0,0,0.3,0.7,20,2020
20,ES_10hr_Cand,ES 10hr (New),20_ES_10hr_Cand,20,0,0,0,1,66767.21875,0,0,0.3,0.7,20,2020
21,ES_100hr_Cand,ES 100hr (New),21_ES_100hr_Cand,21,0,0,0,1,441525.1562,0,0,0.3,0.7,20,2020
22,Li_Ion_Cand,Li-Ion Battery (New),22_Li_Ion_Cand,22,0,100,500,1,25513.2552,0,0,0.3,0.7,16,2020
23,Flow_Cand,Flow Battery (New),23_Flow_Cand,23,0,100,500,1,10270,0.3,0,0.3,0.7,12,2028
24,Grav_Cand,Grav (New),24_Grav_Cand,24,0,0,0,1,25060,0.3,0,0.3,0.7,50,2030
25,PSH_Cand,PSH (New),25_PSH_Cand,25,0,0,0,1,21753.19063,0.624596562,0,0.3,0.7,60,2030
26,Therm_Cand,Therm (New),26_Therm_Cand,26,0,100,500,1,28305,0.3,0,0.3,0.7,35,2032
27,CAES_Cand,CAES (New),27_CAES_Cand,27,0,0,0,1,17359.47687,7.365931875,0,0.3,0.7,60,2030
28,Zinc_Cand,Zinc (New),28_Zinc_Cand,28,0,0,0,1,12320,0.3,0,0.3,0.7,17,2030
29,Hydrogen_Cand,Hydrogen (New),29_Hydrogen_Cand,29,0,0,0,1,23900,0.3,0,0.3,0.7,30,2030
30,DR_Cand,Demand Response (New),30_DR_Cand,30,0,0,0,1,0,0.3,0,0,0,20,2020
31,Iron_Air_Cand,Iron Air (New),31_Iron_Air_Cand,31,0,0,0,1,1900,0.3,0,0.3,0.7,15,2020
32,SMR_Cand,SMR (New),32_SMR_Cand,32,0,100,500,0.05,136000,2.6,0,0,0.95,50,2030
