datetime,1_A_Wind,3_C_Wind,3_C_Wind_1,3_C_Wind_2,1_A_Wind_Cand,2_B_Wind_Cand,3_C_Wind_Cand
2007-01-01 00:00:00,3.93,7.59,10.63,3.5500000000000003,3.02,8.36,1.24
2007-01-01 01:00:00,5.13,17.61,10.49,3.0700000000000003,2.42,6.96,2.13
2007-01-01 02:00:00,5.5200000000000005,19.98,11.53,2.18,2.28,6.34,5.47
2007-01-01 03:00:00,4.65,19.3,10.05,1.7,1.79,7.71,7.16
2007-01-01 04:00:00,4.99,18.63,7.3,1.01,0.26,9.83,1.56
2007-01-01 05:00:00,5.28,16.02,7.390000000000001,3.79,1.26,8.6,5.59
2007-01-01 06:00:00,5.33,14.08,10.19,4.13,2.24,11.42,3.82
2007-01-01 07:00:00,5.55,12.58,5.96,5.55,2.76,9.43,4.19
2007-01-01 08:00:00,6.8500000000000005,9.66,9.99,9.0,3.15,6.45,10.14
2007-01-01 09:00:00,6.13,5.58,4.44,11.06,3.91,6.640000000000001,4.1
2007-01-01 10:00:00,4.84,3.5,4.58,8.540000000000001,5.18,6.5600000000000005,7.38
2007-01-01 11:00:00,2.9,3.23,3.91,7.35,6.69,4.33,6.69
2007-01-01 12:00:00,1.94,4.94,1.49,9.24,7.71,2.28,5.55
2007-01-01 13:00:00,1.78,3.1,1.59,11.74,8.290000000000001,1.45,8.43
2007-01-01 14:00:00,2.82,2.31,2.31,13.84,9.02,1.69,2.74
2007-01-01 15:00:00,5.04,1.25,3.28,17.81,10.05,3.28,8.46
2007-01-01 16:00:00,5.6000000000000005,2.43,2.05,16.62,9.63,4.14,5.11
2007-01-01 17:00:00,5.01,0.89,1.29,17.990000000000002,8.91,6.58,3.97
2007-01-01 18:00:00,4.36,1.29,1.27,15.68,10.2,4.39,4.13
2007-01-01 19:00:00,5.95,1.97,2.0,15.67,7.9,3.38,4.3500000000000005
2007-01-01 20:00:00,5.59,2.01,4.1,14.13,6.86,3.56,3.1
2007-01-01 21:00:00,4.51,1.01,7.27,15.7,8.15,4.46,4.64
2007-01-01 22:00:00,4.53,0.62,6.68,19.3,8.17,4.51,5.25
2007-01-01 23:00:00,4.8,6.66,8.15,17.89,7.59,6.99,3.48
2007-01-02 00:00:00,7.09,10.51,10.02,16.5,8.28,2.74,4.33
2007-01-02 01:00:00,6.42,6.5200000000000005,11.27,16.61,9.03,5.29,5.47
2007-01-02 02:00:00,5.73,4.72,8.14,18.57,11.9,9.5,6.41
2007-01-02 03:00:00,6.36,7.72,7.23,15.67,11.66,8.69,10.1
2007-01-02 04:00:00,9.25,8.69,6.82,10.56,12.3,3.25,12.5
2007-01-02 05:00:00,13.43,9.06,7.01,16.06,10.41,3.12,12.92
2007-01-02 06:00:00,14.91,7.12,10.13,17.38,10.85,5.11,6.76
2007-01-02 07:00:00,13.1,4.04,10.73,21.57,8.9,5.49,2.47
2007-01-02 08:00:00,13.31,2.88,11.4,19.06,6.23,8.26,1.35
2007-01-02 09:00:00,9.91,1.6,11.49,18.31,5.74,8.870000000000001,1.67
2007-01-02 10:00:00,12.77,7.07,7.95,18.54,5.65,8.69,1.48
2007-01-02 11:00:00,10.06,3.59,3.36,19.44,6.19,8.86,1.8
2007-01-02 12:00:00,10.21,0.8300000000000001,2.47,18.81,7.640000000000001,8.3,3.31
2007-01-02 13:00:00,11.29,0.49,5.16,19.82,7.890000000000001,9.42,3.41
2007-01-02 14:00:00,11.85,0.25,6.2,17.91,8.77,11.22,4.19
2007-01-02 15:00:00,13.71,0.55,6.58,15.87,8.620000000000001,10.2,2.64
2007-01-02 16:00:00,14.91,0.95,1.46,13.0,7.7,7.79,1.94
2007-01-02 17:00:00,11.36,0.78,0.48,12.4,6.29,4.47,2.15
2007-01-02 18:00:00,9.24,0.19,0.89,14.04,6.36,2.0,1.19
2007-01-02 19:00:00,8.51,0.51,1.07,13.02,6.1000000000000005,1.16,0.33
2007-01-02 20:00:00,8.89,0.47,1.86,14.96,5.98,1.54,0.9
2007-01-02 21:00:00,8.83,1.56,3.35,14.47,6.01,1.65,2.91
2007-01-02 22:00:00,6.91,0.89,3.41,11.27,5.71,1.24,3.76
2007-01-02 23:00:00,3.27,1.54,2.75,12.57,5.34,1.38,3.0500000000000003
2007-01-03 00:00:00,4.08,0.99,1.86,13.09,5.93,0.8200000000000001,2.43
2007-01-03 01:00:00,5.8100000000000005,0.98,2.04,9.24,6.87,2.3000000000000003,2.65
2007-01-03 02:00:00,4.98,0.68,2.44,10.34,6.97,2.26,2.66
2007-01-03 03:00:00,4.91,0.5,2.19,8.06,6.67,2.02,1.83
2007-01-03 04:00:00,4.0,1.43,0.6,4.99,6.76,1.13,0.7000000000000001
2007-01-03 05:00:00,4.19,0.94,1.8,4.59,7.03,1.7,0.49
2007-01-03 06:00:00,4.29,1.19,1.25,2.39,7.32,2.69,0.41
2007-01-03 07:00:00,5.44,1.4,1.57,2.15,6.94,3.79,0.37
2007-01-03 08:00:00,4.8100000000000005,1.15,1.14,2.95,6.26,3.58,0.26
2007-01-03 09:00:00,3.95,0.43,0.96,1.45,7.18,2.41,0.36
2007-01-03 10:00:00,3.16,0.81,0.39,0.85,5.3500000000000005,1.99,0.16
2007-01-03 11:00:00,1.75,1.34,0.38,1.37,4.43,1.36,0.72
2007-01-03 12:00:00,0.58,1.41,0.39,1.78,3.16,0.36,0.79
2007-01-03 13:00:00,0.8200000000000001,1.18,0.54,1.71,4.74,1.01,0.66
2007-01-03 14:00:00,0.84,0.68,0.18,1.17,7.1000000000000005,0.6,0.98
2007-01-03 15:00:00,1.2,0.2,0.29,0.98,5.87,1.3,1.42
2007-01-03 16:00:00,2.22,1.3,0.13,1.16,5.66,1.82,1.11
2007-01-03 17:00:00,3.11,1.27,0.58,1.17,2.93,1.41,0.65
2007-01-03 18:00:00,2.57,1.3,1.04,1.13,1.59,2.4,0.63
2007-01-03 19:00:00,1.37,1.49,0.5,1.76,1.97,3.33,0.61
2007-01-03 20:00:00,1.11,1.65,0.37,2.04,2.16,5.01,0.65
2007-01-03 21:00:00,1.78,1.5,0.19,1.98,1.9,6.36,1.94
2007-01-03 22:00:00,3.82,1.68,1.47,2.24,2.32,6.76,2.42
2007-01-03 23:00:00,5.8,2.08,12.96,3.34,2.81,8.59,1.65
2007-01-04 00:00:00,6.32,11.35,15.23,3.98,3.71,9.49,4.58
2007-01-04 01:00:00,5.8100000000000005,15.85,13.86,3.93,2.89,9.37,6.74
2007-01-04 02:00:00,6.22,16.5,12.52,4.25,2.76,9.3,8.870000000000001
2007-01-04 03:00:00,6.97,17.0,12.92,3.9,2.92,6.94,8.02
2007-01-04 04:00:00,7.29,18.22,14.21,2.95,2.8000000000000003,6.54,7.32
2007-01-04 05:00:00,7.09,18.5,14.83,2.94,3.21,6.34,7.48
2007-01-04 06:00:00,6.95,18.49,14.9,2.29,3.51,8.4,7.99
2007-01-04 07:00:00,7.78,18.34,12.72,1.59,3.5,7.92,9.13
2007-01-04 08:00:00,7.54,18.93,13.17,2.92,3.52,8.620000000000001,7.52
2007-01-04 09:00:00,5.63,19.62,14.84,3.84,3.92,7.43,5.21
2007-01-04 10:00:00,7.61,18.96,15.69,5.9,3.96,7.5,4.89
2007-01-04 11:00:00,9.21,16.97,15.61,4.8100000000000005,3.92,8.1,4.61
2007-01-04 12:00:00,9.7,15.72,15.26,4.42,3.1,8.45,4.34
2007-01-04 13:00:00,9.89,15.05,14.39,7.27,3.21,9.05,4.3
2007-01-04 14:00:00,10.27,15.75,12.6,7.61,4.09,9.9,2.74
2007-01-04 15:00:00,9.75,16.91,12.16,7.29,5.1000000000000005,10.36,6.92
2007-01-04 16:00:00,9.39,17.21,11.09,6.93,5.61,10.09,7.67
2007-01-04 17:00:00,8.94,15.73,9.57,7.99,5.0200000000000005,8.89,9.85
2007-01-04 18:00:00,9.73,9.92,10.3,2.37,5.33,8.56,9.53
2007-01-04 19:00:00,10.92,5.69,11.27,10.61,6.2700000000000005,9.84,9.05
2007-01-04 20:00:00,11.84,7.66,11.06,10.61,7.22,11.39,10.25
2007-01-04 21:00:00,13.11,9.97,9.56,11.3,7.640000000000001,11.48,11.8
2007-01-04 22:00:00,14.26,13.6,8.25,15.43,7.86,11.92,11.15
2007-01-04 23:00:00,14.53,7.97,10.08,14.28,8.47,11.26,11.13
2007-01-05 00:00:00,15.69,13.02,8.8,15.28,8.65,12.08,11.79
2007-01-05 01:00:00,17.1,17.93,12.52,13.79,9.46,14.08,13.89
2007-01-05 02:00:00,19.37,15.47,10.87,14.85,10.95,14.45,11.49
2007-01-05 03:00:00,20.51,14.65,12.59,15.32,11.57,11.28,9.26
2007-01-05 04:00:00,20.63,15.69,9.96,15.54,10.76,14.14,4.5200000000000005
2007-01-05 05:00:00,19.78,7.42,8.77,15.1,14.39,12.83,8.97
