Tech_num,Tech_name,Cost,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
24,PSH_Cand,Energy,78.50,88.23,84.48,80.29,69.95,67.06,64.17,61.27,58.37,55.45,54.44,53.43,52.42,51.42,50.41,49.41,48.40,47.40,46.40,45.40,44.40,43.40,42.41,41.42,40.42,39.43,38.44,37.46,36.47,35.49
25,Therm_Cand,Energy,133.27,149.79,143.42,136.31,118.75,113.85,108.94,104.02,99.09,94.14,92.43,90.71,89.00,87.29,85.58,83.88,82.18,80.47,78.77,77.08,75.38,73.69,72.00,70.31,68.63,66.94,65.26,63.59,61.92,60.25
26,CAES_Cand,Energy,6.74,7.58,7.25,6.89,6.01,5.76,5.51,5.26,5.01,4.76,4.67,4.59,4.50,4.41,4.33,4.24,4.16,4.07,3.98,3.90,3.81,3.73,3.64,3.56,3.47,3.39,3.30,3.22,3.13,3.05
27,Zinc_Cand,Energy,447.72,503.21,481.80,457.93,398.95,382.48,365.98,349.45,332.88,316.26,310.50,304.75,299.00,293.26,287.52,281.79,276.06,270.35,264.64,258.94,253.24,247.55,241.88,236.21,230.55,224.90,219.25,213.62,208.01,202.40
28,Hydrogen_Cand,Energy,5.82,6.54,6.26,5.95,5.19,4.97,4.76,4.54,4.33,4.11,4.04,3.96,3.89,3.81,3.74,3.66,3.59,3.51,3.44,3.37,3.29,3.22,3.14,3.07,3.00,2.92,2.85,2.78,2.70,2.63
30,Iron_Air_Cand,Power,1647.03,1851.19,1813.28,1768.86,1587.81,1592.86,1598.40,1604.47,1611.16,1618.54,1607.54,1596.47,1585.31,1574.07,1562.73,1551.29,1539.76,1528.12,1516.38,1504.52,1492.54,1480.44,1468.21,1455.85,1443.35,1430.70,1417.89,1404.92,1391.79,1378.47
30,Iron_Air_Cand,Energy,133.27,149.79,143.42,136.31,118.75,113.85,108.94,104.02,99.09,94.14,92.43,90.71,89.00,87.29,85.58,83.88,82.18,80.47,78.77,77.08,75.38,73.69,72.00,70.31,68.63,66.94,65.26,63.59,61.92,60.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
