Tech_num,Tech_name,Cost,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
16,ES_4hr_Cand,Power,155.60,174.89,171.31,167.11,150.01,150.48,151.01,151.58,152.21,152.91,151.87,150.82,149.77,148.71,147.64,146.56,145.47,144.37,143.26,142.14,141.00,139.86,138.71,137.54,136.36,135.16,133.95,132.73,131.49,130.23
17,ES_6hr_Cand,Power,155.60,174.89,192.54,206.78,199.35,192.79,187.10,182.26,178.30,175.21,171.01,165.76,159.55,152.48,144.68,136.27,127.39,118.20,108.82,99.40,90.08,80.97,72.18,63.80,55.91,48.57,41.81,35.66,30.14,25.22
18,ES_8hr_Cand,Power,155.60,174.89,192.54,206.78,199.35,192.79,187.10,182.26,178.30,175.21,171.01,165.76,159.55,152.48,144.68,136.27,127.39,118.20,108.82,99.40,90.08,80.97,72.18,63.80,55.91,48.57,41.81,35.66,30.14,25.22
19,ES_10hr_Cand,Power,155.60,174.89,192.54,206.78,199.35,192.79,187.10,182.26,178.30,175.21,171.01,165.76,159.55,152.48,144.68,136.27,127.39,118.20,108.82,99.40,90.08,80.97,72.18,63.80,55.91,48.57,41.81,35.66,30.14,25.22
20,ES_100hr_Cand,Power,155.60,174.89,192.54,206.78,199.35,192.79,187.10,182.26,178.30,175.21,171.01,165.76,159.55,152.48,144.68,136.27,127.39,118.20,108.82,99.40,90.08,80.97,72.18,63.80,55.91,48.57,41.81,35.66,30.14,25.22
16,ES_4hr_Cand,Energy,440.78,495.42,545.42,585.77,564.71,546.14,530.01,516.32,505.07,496.33,484.43,469.56,451.97,431.95,409.84,386.02,360.87,334.82,308.26,281.59,255.18,229.37,204.46,180.73,158.38,137.58,118.44,101.03,85.37,71.45
17,ES_6hr_Cand,Energy,440.78,495.42,545.42,585.77,564.71,546.14,530.01,516.32,505.07,496.33,484.43,469.56,451.97,431.95,409.84,386.02,360.87,334.82,308.26,281.59,255.18,229.37,204.46,180.73,158.38,137.58,118.44,101.03,85.37,71.45
18,ES_8hr_Cand,Energy,440.78,495.42,545.42,585.77,564.71,546.14,530.01,516.32,505.07,496.33,484.43,469.56,451.97,431.95,409.84,386.02,360.87,334.82,308.26,281.59,255.18,229.37,204.46,180.73,158.38,137.58,118.44,101.03,85.37,71.45
19,ES_10hr_Cand,Energy,440.78,495.42,545.42,585.77,564.71,546.14,530.01,516.32,505.07,496.33,484.43,469.56,451.97,431.95,409.84,386.02,360.87,334.82,308.26,281.59,255.18,229.37,204.46,180.73,158.38,137.58,118.44,101.03,85.37,71.45
20,ES_100hr_Cand,Energy,440.78,495.42,545.42,585.77,564.71,546.14,530.01,516.32,505.07,496.33,484.43,469.56,451.97,431.95,409.84,386.02,360.87,334.82,308.26,281.59,255.18,229.37,204.46,180.73,158.38,137.58,118.44,101.03,85.37,71.45
21,Li_Ion_Cand,Power,105.61,118.70,116.27,113.42,101.81,102.14,102.49,102.88,103.31,103.78,103.08,102.37,101.65,100.93,100.20,99.47,98.73,97.99,97.23,96.47,95.70,94.93,94.14,93.35,92.55,91.74,90.92,90.09,89.24,88.39
22,Flow_Cand,Power,165.80,186.35,182.54,178.06,159.84,160.35,160.90,161.52,162.19,162.93,161.83,160.71,159.59,158.46,157.31,156.16,155.00,153.83,152.65,151.45,150.25,149.03,147.80,146.55,145.30,144.02,142.73,141.43,140.11,138.77
23,Grav_Cand,Power,910.34,1023.18,1002.23,977.68,877.61,880.40,883.46,886.82,890.51,894.59,888.52,882.40,876.23,870.01,863.75,857.43,851.05,844.62,838.13,831.57,824.95,818.26,811.50,804.67,797.76,790.77,783.69,776.52,769.26,761.91
24,PSH_Cand,Power,1792.65,2014.86,1973.60,1925.25,1728.20,1733.69,1739.72,1746.33,1753.61,1761.64,1749.67,1737.62,1725.48,1713.24,1700.90,1688.45,1675.90,1663.23,1650.45,1637.54,1624.50,1611.33,1598.02,1584.57,1570.96,1557.19,1543.25,1529.14,1514.84,1500.35
25,Therm_Cand,Power,1647.03,1851.19,1813.28,1768.86,1587.81,1592.86,1598.40,1604.47,1611.16,1618.54,1607.54,1596.47,1585.31,1574.07,1562.73,1551.29,1539.76,1528.12,1516.38,1504.52,1492.54,1480.44,1468.21,1455.85,1443.35,1430.70,1417.89,1404.92,1391.79,1378.47
26,CAES_Cand,Power,1153.00,1295.92,1269.38,1238.29,1111.54,1115.08,1118.96,1123.21,1127.89,1133.05,1125.36,1117.61,1109.80,1101.92,1093.99,1085.98,1077.91,1069.76,1061.54,1053.23,1044.85,1036.38,1027.82,1019.16,1010.41,1001.56,992.59,983.51,974.32,965.00
27,Zinc_Cand,Power,130.61,146.79,143.79,140.27,125.91,126.31,126.75,127.23,127.76,128.35,127.47,126.60,125.71,124.82,123.92,123.01,122.10,121.18,120.24,119.30,118.35,117.39,116.43,115.44,114.45,113.45,112.43,111.41,110.37,109.31
28,Hydrogen_Cand,Power,2893.69,3252.38,3185.78,3107.73,2789.65,2798.52,2808.25,2818.92,2830.67,2843.63,2824.32,2804.86,2785.26,2765.50,2745.58,2725.49,2705.23,2684.78,2664.14,2643.31,2622.27,2601.01,2579.52,2557.80,2535.84,2513.61,2491.11,2468.33,2445.25,2421.86
21,Li_Ion_Cand,Energy,384.31,431.95,413.57,393.08,342.45,328.31,314.15,299.96,285.74,271.47,266.53,261.59,256.65,251.72,246.80,241.88,236.97,232.06,227.16,222.27,217.38,212.50,207.62,202.75,197.90,193.05,188.20,183.37,178.55,173.74
22,Flow_Cand,Energy,413.01,464.20,444.45,422.44,368.02,352.83,337.61,322.36,307.07,291.75,286.43,281.12,275.82,270.52,265.23,259.95,254.67,249.39,244.12,238.86,233.61,228.36,223.13,217.90,212.67,207.46,202.26,197.07,191.88,186.71
23,Grav_Cand,Energy,398.96,448.41,429.33,408.07,355.50,340.83,326.13,311.40,296.63,281.82,276.69,271.56,266.44,261.32,256.21,251.10,246.00,240.91,235.82,230.74,225.66,220.60,215.54,210.48,205.44,200.40,195.38,190.36,185.35,180.36
