Gen_num,Gen_name,Tech,Tech_Num,RTE,Charge_Eff,Discharge_Eff,Duration,Min_Duration,Max_Duration
65,3_C_ES,ES,10,0.85,0.95,0.95,3,3,3
76,1_A_ES_4hr_Cand,ES_4hr_Cand,16,0.85,0.95,0.95,4,4,4
77,2_B_ES_4hr_Cand,ES_4hr_Cand,16,0.85,0.95,0.95,4,4,4
78,3_C_ES_4hr_Cand,ES_4hr_Cand,16,0.85,0.95,0.95,4,4,4
79,1_A_ES_6hr_Cand,ES_6hr_Cand,17,0.85,0.95,0.95,6,6,6
80,2_B_ES_6hr_Cand,ES_6hr_Cand,17,0.85,0.95,0.95,6,6,6
81,3_C_ES_6hr_Cand,ES_6hr_Cand,17,0.85,0.95,0.95,6,6,6
82,1_A_ES_8hr_Cand,ES_8hr_Cand,18,0.85,0.95,0.95,8,8,8
83,2_B_ES_8hr_Cand,ES_8hr_Cand,18,0.85,0.95,0.95,8,8,8
84,3_C_ES_8hr_Cand,ES_8hr_Cand,18,0.85,0.95,0.95,8,8,8
85,1_A_ES_10hr_Cand,ES_10hr_Cand,19,0.85,0.95,0.95,10,10,10
86,2_B_ES_10hr_Cand,ES_10hr_Cand,19,0.85,0.95,0.95,10,10,10
87,3_C_ES_10hr_Cand,ES_10hr_Cand,19,0.85,0.95,0.95,10,10,10
91,1_A_ES_Li_Ion_Cand,Li_Ion_Cand,21,0.85,1,1,0,2,10
92,2_B_ES_Li_Ion_Cand,Li_Ion_Cand,21,0.85,1,1,0,2,10
93,3_C_ES_Li_Ion_Cand,Li_Ion_Cand,21,0.85,1,1,0,2,10
94,1_A_ES_Flow_Cand,Flow_Cand,22,0.65,1,1,0,2,100
95,2_B_ES_Flow_Cand,Flow_Cand,22,0.65,1,1,0,2,100
96,3_C_ES_Flow_Cand,Flow_Cand,22,0.65,1,1,0,2,100
97,1_A_ES_Therm_Cand,Therm_Cand,25,0.52,1,1,0,10,100
98,2_B_ES_Therm_Cand,Therm_Cand,25,0.52,1,1,0,10,100
99,3_C_ES_Therm_Cand,Therm_Cand,25,0.52,1,1,0,10,100
