Tech_num,Tech_name,Cost,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
16,ES_4hr_Cand,Power,155.6,174.8874155,181.1023994,182.7137452,180.4559997,177.0248807,173.5527021,170.0351284,166.4671911,162.8431695,161.7282177,160.6132659,159.4983141,158.3833624,157.2684106,156.1534588,155.0385071,153.9235553,152.8086035,151.6936517,150.5787,149.4637482,148.3487964,147.2338446,146.1188929,145.0039411,143.8889893,142.7740376,141.6590858,140.544134
17,ES_6hr_Cand,Power,155.6,174.8874155,203.5509677,239.0203062,277.2021099,315.3706326,351.757233,384.3900145,411.2360283,430.3790376,447.3292717,461.7417433,473.3099591,481.7764959,486.9423122,488.6743335,486.9109197,481.6649091,473.0240496,461.1487496,446.2672186,428.6681953,408.6915863,386.7174391,363.1537536,338.4236857,312.9527127,287.1563133,261.4286685,236.1328138
18,ES_8hr_Cand,Power,155.6,174.8874155,203.5509677,239.0203062,277.2021099,315.3706326,351.757233,384.3900145,411.2360283,430.3790376,447.3292717,461.7417433,473.3099591,481.7764959,486.9423122,488.6743335,486.9109197,481.6649091,473.0240496,461.1487496,446.2672186,428.6681953,408.6915863,386.7174391,363.1537536,338.4236857,312.9527127,287.1563133,261.4286685,236.1328138
19,ES_10hr_Cand,Power,155.6,174.8874155,203.5509677,239.0203062,277.2021099,315.3706326,351.757233,384.3900145,411.2360283,430.3790376,447.3292717,461.7417433,473.3099591,481.7764959,486.9423122,488.6743335,486.9109197,481.6649091,473.0240496,461.1487496,446.2672186,428.6681953,408.6915863,386.7174391,363.1537536,338.4236857,312.9527127,287.1563133,261.4286685,236.1328138
20,ES_100hr_Cand,Power,155.6,174.8874155,203.5509677,239.0203062,277.2021099,315.3706326,351.757233,384.3900145,411.2360283,430.3790376,447.3292717,461.7417433,473.3099591,481.7764959,486.9423122,488.6743335,486.9109197,481.6649091,473.0240496,461.1487496,446.2672186,428.6681953,408.6915863,386.7174391,363.1537536,338.4236857,312.9527127,287.1563133,261.4286685,236.1328138
16,ES_4hr_Cand,Energy,440.78,495.4169344,576.6143672,677.0910706,785.251581,893.3744693,996.4495703,1088.890942,1164.939695,1219.167559,1267.183781,1308.01109,1340.781258,1364.765063,1379.398666,1384.305095,1379.309738,1364.448963,1339.971341,1306.331272,1264.175222,1214.321125,1157.73186,1095.484015,1028.733364,958.6786129,886.5250431,813.449613,740.5689493,668.9114502
17,ES_6hr_Cand,Energy,440.78,495.4169344,576.6143672,677.0910706,785.251581,893.3744693,996.4495703,1088.890942,1164.939695,1219.167559,1267.183781,1308.01109,1340.781258,1364.765063,1379.398666,1384.305095,1379.309738,1364.448963,1339.971341,1306.331272,1264.175222,1214.321125,1157.73186,1095.484015,1028.733364,958.6786129,886.5250431,813.449613,740.5689493,668.9114502
18,ES_8hr_Cand,Energy,440.78,495.4169344,576.6143672,677.0910706,785.251581,893.3744693,996.4495703,1088.890942,1164.939695,1219.167559,1267.183781,1308.01109,1340.781258,1364.765063,1379.398666,1384.305095,1379.309738,1364.448963,1339.971341,1306.331272,1264.175222,1214.321125,1157.73186,1095.484015,1028.733364,958.6786129,886.5250431,813.449613,740.5689493,668.9114502
19,ES_10hr_Cand,Energy,440.78,495.4169344,576.6143672,677.0910706,785.251581,893.3744693,996.4495703,1088.890942,1164.939695,1219.167559,1267.183781,1308.01109,1340.781258,1364.765063,1379.398666,1384.305095,1379.309738,1364.448963,1339.971341,1306.331272,1264.175222,1214.321125,1157.73186,1095.484015,1028.733364,958.6786129,886.5250431,813.449613,740.5689493,668.9114502
20,ES_100hr_Cand,Energy,440.78,495.4169344,576.6143672,677.0910706,785.251581,893.3744693,996.4495703,1088.890942,1164.939695,1219.167559,1267.183781,1308.01109,1340.781258,1364.765063,1379.398666,1384.305095,1379.309738,1364.448963,1339.971341,1306.331272,1264.175222,1214.321125,1157.73186,1095.484015,1028.733364,958.6786129,886.5250431,813.449613,740.5689493,668.9114502
