Num,Tech,Tech_Name,ID,Tech_Num,Lead_Time,CandCap,SystCap,RampRate,FOM,VOM,PTC,ITC,CapCred,Lifetime,YearAvail
1,Nuclear,Nuclear,1_Nuclear,1,20,0,0,0,146000,3,0,0,0.95,100,2020
2,Coal,Coal,2_Coal,2,20,0,0,0.04,74000,8,0,0,0.95,100,2020
3,Gas_CT,Gas_CT,3_Gas_CT,3,3,0,0,0.08,21000,5,0,0,0.95,100,2020
4,Gas_CC,Gas_CC,4_Gas_CC,4,3,0,0,0.05,28000,2,0,0,0.95,100,2020
5,Oil_CT,Oil_CT,5_Oil_CT,5,3,0,0,0.04,20000,4,0,0,0.95,100,2020
6,Oil_ST,Oil_ST,6_Oil_ST,6,3,0,0,0.04,20000,4,0,0,0.95,100,2020
7,Wind,Wind,7_Wind,7,3,0,0,0,43000,0,0,0,0.39,100,2020
8,Solar,Solar,8_Solar,8,3,0,0,0,23000,0,0,0,0.28,20,2020
9,Solar_RT,Solar_RT,9_Solar_RT,9,2,0,0,0,29000,0,0,0,0.28,40,2020
10,ES,ES,10_ES,10,3,0,0,1,43000,0,0,0,0.95,30,2020
11,Hydro,Hydro,11_Hydro,11,20,0,0,1,79000,0,0,0,0.95,30,2020
12,CSP,CSP,12_CSP,12,20,0,0,0.1,66000,3.5,0,0,0.95,20,2020
13,Gas_Cand,Gas (New),13_Gas_Cand,13,2,3000,10000,0.05,28000,2,0,0,0.95,20,2020
14,Wind_Cand,Wind (New),14_Wind_Cand,14,1,3000,10000,0,43000,0,26,0,0.39,20,2020
15,Solar_Cand,Solar (New),15_Solar_Cand,15,1,3000,10000,0,23000,0,26,0,0.28,20,2020
16,ES_4hr_Cand,ES 4hr (New),16_ES_4hr_Cand,16,1,0,0,1,6360,0.3,0,0.3,0.7,20,2020
17,ES_6hr_Cand,ES 6hr (New),17_ES_6hr_Cand,17,1,0,0,1,6360,0.3,0,0.3,0.7,20,2020
18,ES_8hr_Cand,ES 8hr (New),18_ES_8hr_Cand,18,1,0,0,1,6360,0.3,0,0.3,0.7,20,2020
19,ES_10hr_Cand,ES 10hr (New),19_ES_10hr_Cand,19,1,0,0,1,6360,0.3,0,0.3,0.7,20,2020
20,ES_100hr_Cand,ES 100hr (New),20_ES_100hr_Cand,20,4,0,0,1,6360,0.3,0,0.3,0.7,20,2020
21,Li_Ion_Cand,Li-Ion Battery (New),21_Li_Ion_Cand,21,1,1000,10000,1,6360,0.3,0,0.3,0.7,16,2020
22,Flow_Cand,Flow Battery (New),22_Flow_Cand,22,2,1000,10000,1,10270,0.3,0,0.3,0.7,12,2028
23,Grav_Cand,Grav (New),23_Grav_Cand,23,2,0,0,1,25060,0.3,0,0.3,0.7,50,2030
24,PSH_Cand,PSH (New),24_PSH_Cand,24,2,0,0,1,28145,0.3,0,0.3,0.7,60,2030
25,Therm_Cand,Therm (New),25_Therm_Cand,25,2,1000,10000,1,28305,0.3,0,0.3,0.7,35,2032
26,CAES_Cand,CAES (New),26_CAES_Cand,26,2,0,0,1,16170,0.3,0,0.3,0.7,60,2030
27,Zinc_Cand,Zinc (New),27_Zinc_Cand,27,2,0,0,1,12320,0.3,0,0.3,0.7,17,2030
28,Hydrogen_Cand,Hydrogen (New),28_Hydrogen_Cand,28,2,0,0,1,23900,0.3,0,0.3,0.7,30,2030
29,DR_Cand,Demand Response (New),29_DR_Cand,29,1,0,0,1,0,0.3,0,0,0,20,2020
30,Iron_Air_Cand,Iron Air (New),30_Iron_Air_Cand,30,1,0,0,1,1900,0.3,0,0.3,0.7,15,2020
