Years,RPS,CO2,CO2_intensity
2021,0.0,0.47,1113.0
2022,0.0,0.497895,756.5
2023,0.05,0.525789,400.0
2024,0.1,0.553684,377.778
2025,0.15,0.581579,355.556
2026,0.2,0.609474,333.333
2027,0.25,0.637368,311.111
2028,0.3,0.665263,288.889
2029,0.35,0.693158,266.667
2030,0.4,0.721053,244.444
2031,0.44,0.748947,222.222
2032,0.48,0.776842,200.0
2033,0.4,0.804737,175.0
2034,0.56,0.832632,150.0
2035,0.6,0.860526,125.0
2036,0.64,0.888421,100.0
2037,0.68,0.916316,75.0
2038,0.7,0.944211,50.0
2039,0.75,0.972105,25.0
2040,0.8,1.0,0.0
2041,0.9,1.0,0.0
2042,0.95,1.0,0.0
2043,1.0,1.0,0.0
