Tech_num,Tech_name,Cost,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
16,ES_4hr_Cand,Power,155.6,174.8874155,125.6865276,118.4849893,112.2837021,107.6894433,103.0680973,98.49371604,93.93299207,88.7317696,87.09626923,85.46078286,84.4473543,82.81129152,80.51043559,79.5001004,77.86322373,76.22630618,74.58934517,73.58666806,71.94915695,69.63282598,67.99458844,66.99577885,65.35691843,63.71790747,62.07873425,61.09098435,59.45133056,57.11135611
17,ES_6hr_Cand,Power,155.6,174.8874155,141.2660152,107.5700662,77.62445548,53.72322878,35.58580317,22.5255655,13.59828898,7.75450029,4.340540135,2.383971452,1.29383086,0.688584862,0.356287064,0.182036358,0.091092145,0.044624792,0.021391607,0.010116562,0.00467788,0.002093406,0.000914783,0.000393873,0.000165439,6.7747E-05,2.70286E-05,1.06118E-05,4.05455E-06,1.48818E-06
18,ES_8hr_Cand,Power,155.6,174.8874155,141.2660152,107.5700662,77.62445548,53.72322878,35.58580317,22.5255655,13.59828898,7.75450029,4.340540135,2.383971452,1.29383086,0.688584862,0.356287064,0.182036358,0.091092145,0.044624792,0.021391607,0.010116562,0.00467788,0.002093406,0.000914783,0.000393873,0.000165439,6.7747E-05,2.70286E-05,1.06118E-05,4.05455E-06,1.48818E-06
19,ES_10hr_Cand,Power,155.6,174.8874155,141.2660152,107.5700662,77.62445548,53.72322878,35.58580317,22.5255655,13.59828898,7.75450029,4.340540135,2.383971452,1.29383086,0.688584862,0.356287064,0.182036358,0.091092145,0.044624792,0.021391607,0.010116562,0.00467788,0.002093406,0.000914783,0.000393873,0.000165439,6.7747E-05,2.70286E-05,1.06118E-05,4.05455E-06,1.48818E-06
20,ES_100hr_Cand,Power,155.6,174.8874155,141.2660152,107.5700662,77.62445548,53.72322878,35.58580317,22.5255655,13.59828898,7.75450029,4.340540135,2.383971452,1.29383086,0.688584862,0.356287064,0.182036358,0.091092145,0.044624792,0.021391607,0.010116562,0.00467788,0.002093406,0.000914783,0.000393873,0.000165439,6.7747E-05,2.70286E-05,1.06118E-05,4.05455E-06,1.48818E-06
16,ES_4hr_Cand,Energy,440.78,495.4169344,400.1750269,304.7219395,219.8927216,152.1858919,100.8066216,63.80988922,38.52091143,21.96676502,12.29577944,6.753257948,3.665133462,1.950606912,1.009281569,0.515668291,0.258043673,0.126412057,0.060597638,0.028657958,0.013251388,0.005930152,0.002591377,0.001115754,0.000468652,0.000191912,7.65659E-05,3.0061E-05,1.14856E-05,4.21568E-06
17,ES_6hr_Cand,Energy,440.78,495.4169344,400.1750269,304.7219395,219.8927216,152.1858919,100.8066216,63.80988922,38.52091143,21.96676502,12.29577944,6.753257948,3.665133462,1.950606912,1.009281569,0.515668291,0.258043673,0.126412057,0.060597638,0.028657958,0.013251388,0.005930152,0.002591377,0.001115754,0.000468652,0.000191912,7.65659E-05,3.0061E-05,1.14856E-05,4.21568E-06
18,ES_8hr_Cand,Energy,440.78,495.4169344,400.1750269,304.7219395,219.8927216,152.1858919,100.8066216,63.80988922,38.52091143,21.96676502,12.29577944,6.753257948,3.665133462,1.950606912,1.009281569,0.515668291,0.258043673,0.126412057,0.060597638,0.028657958,0.013251388,0.005930152,0.002591377,0.001115754,0.000468652,0.000191912,7.65659E-05,3.0061E-05,1.14856E-05,4.21568E-06
19,ES_10hr_Cand,Energy,440.78,495.4169344,400.1750269,304.7219395,219.8927216,152.1858919,100.8066216,63.80988922,38.52091143,21.96676502,12.29577944,6.753257948,3.665133462,1.950606912,1.009281569,0.515668291,0.258043673,0.126412057,0.060597638,0.028657958,0.013251388,0.005930152,0.002591377,0.001115754,0.000468652,0.000191912,7.65659E-05,3.0061E-05,1.14856E-05,4.21568E-06
20,ES_100hr_Cand,Energy,440.78,495.4169344,400.1750269,304.7219395,219.8927216,152.1858919,100.8066216,63.80988922,38.52091143,21.96676502,12.29577944,6.753257948,3.665133462,1.950606912,1.009281569,0.515668291,0.258043673,0.126412057,0.060597638,0.028657958,0.013251388,0.005930152,0.002591377,0.001115754,0.000468652,0.000191912,7.65659E-05,3.0061E-05,1.14856E-05,4.21568E-06
